Species,ev-comm,ev-ident,when,serial number,Pre-Na,anc
Pch ,Pch_IN63,Exp14-p6D8,6_22,18,Naive,FALSE
Pch ,Pch_IN63,Exp14-p6B8,6_22,21,Naive,FALSE
Pch ,Pch_IN63,Exp14-p6F8,6_22,37,Naive,FALSE
Pch ,Pch_IN63,Exp14-p7B8,6_22,53,Naive,FALSE
Pch ,Pch_IN63,Exp14-p7F8,,,Naive,FALSE
Pch ,Pch_IN63,Exp14-p7D8,6_22,64,Naive,FALSE
Pch ,Pch_Pf,Exp14-p6A7,6_22,6,Naive,FALSE
Pch ,Pch_Pf,Exp14-p7C7,6_22,24,Naive,FALSE
Pch ,Pch_Pf,Exp14-p7A7,6_22,40,Naive,FALSE
Pch ,Pch_Pf,Exp14-p6E7,6_22,45,Naive,FALSE
Pch ,Pch_Pf,Exp14-p7E7,6_22,59,Naive,FALSE
Pch ,,,,,Naive,FALSE
Pch ,Ea_Pch,Exp14-p6B2,12_21,121121_235,Naive,FALSE
Pch ,Ea_Pch,Exp14-p7D2,12_21,121121_236,Naive,FALSE
Pch ,Ea_Pch,Exp14-p6D2,12_21,121121_237,Naive,FALSE
Pch ,Ea_Pch,Exp14-p7B2,12_21,121121_238,Naive,FALSE
Pch ,Ea_Pch,Exp14-p7F2,12_21,121121_241,Naive,FALSE
Pch ,Ea_Pch,Exp14-p6F2,12_21,121121_240,Naive,FALSE
Pch ,Pch_Sm,Exp14-p6G7,12_21,121121_242,Naive,FALSE
Pch ,Pch_Sm,Exp14-p6G1,12_21,121121_243,Naive,FALSE
Pch ,Pch_Sm,Exp14-p6G3,12_21,121121_244,Naive,FALSE
Pch ,Pch_Sm,Exp14-p6G11,12_21,121121_246,Naive,FALSE
Pch ,Pch_Sm,Exp14-p6G5,12_21,121121_245,Naive,FALSE
Pch ,Pch_Sm,Exp14-p8G1,8_21,,Naive,FALSE
Pch ,Pch_Sm,Exp14-p8G7,8_21,021021_50,Naive,FALSE
Pch ,Pch_Sm,Exp14-p8G9,8_21,021021_52,Naive,FALSE
Pch ,Pch,Exp14-p1A3,12_21,121121_254,Naive,FALSE
Pch ,Pch,Exp14-p1E3,12_21,121121_231,Naive,FALSE
Pch ,Pch,Exp14-p1C3,12_21,121121_232,Naive,FALSE
Pch ,Pch,Exp14-p2A3,12_21,121121_233,Naive,FALSE
Pch ,Pch,Exp14-p2C3,12_21,121121_234,Naive,FALSE
Pch ,Pch,Exp14-p2E3,6_22,74,Naive,FALSE
Pch ,anc,anc,8_21,56,Naive,TRUE
Pf,Pch_Pf,Exp14-p6A7,6_22,9,Naive,FALSE
Pf,Pch_Pf,Exp14-p7A7,6_22,34,Naive,FALSE
Pf,Pch_Pf,Exp14-p7C7,6_22,55,Naive,FALSE
Pf,Pch_Pf,Exp14-p7E7,6_22,4,Naive,FALSE
Pf,Pch_Pf,,,,Naive,FALSE
Pf,Pch_Pf,,,,Naive,FALSE
Pf,Ea_Pf,Exp14-p6D4,6_22,23,Naive,FALSE
Pf,Ea_Pf,Exp14-p7B4,6_22,38,Naive,FALSE
Pf,Ea_Pf,Exp14-p6F4,6_22,46,Naive,FALSE
Pf,Ea_Pf,Exp14-p7D4,6_22,50,Naive,FALSE
Pf,Ea_Pf,Exp14-p7F4,6_22,57,Naive,FALSE
Pf,Ea_Pf,Exp14-p6B4,6_22,7,Naive,FALSE
Pf,Pf_Ab,Exp14-p6H4,12_21,121121_223,Naive,FALSE
Pf,Pf_Ab,Exp14-p6H2,12_21,121121_224,Naive,FALSE
Pf,Pf_Ab,Exp14-p7H6,12_21,121121_225,Naive,FALSE
Pf,Pf_Ab,Exp14-p6H12,12_21,121121_226,Naive,FALSE
Pf,Pf_Ab,Exp14-p7H4,12_21,121121_227,Naive,FALSE
Pf,Pf_Ab,Exp14-p6H10,12_21,121121_228,Naive,FALSE
Pf,Pf_Ab,Exp14-p6H8,12_21,121121_229,Naive,FALSE
Pf,Pf_Ab,Exp14-p7H2,12_21,121121_230,Naive,FALSE
Pf,Pf_Sm,Exp14-p6A9,12_21,121121_218,Naive,FALSE
Pf,Pf_Sm,Exp14-p6C9,12_21,121121_219,Naive,FALSE
Pf,Pf_Sm,Exp14-p7A9,12_21,121121_220,Naive,FALSE
Pf,Pf_Sm,Exp14-p6E9,12_21,121121_221,Naive,FALSE
Pf,Pf_Sm,Exp14-p7C9,12_21,121121_222,Naive,FALSE
Pf,Pf_Sm,Exp14-p7E9,6_22,70,Naive,FALSE
Pf,Pf_Sm,Exp14-p8A9,8_21,021021_43,Naive,FALSE
Pf,Pf_Sm,Exp14-p8C9,8_21,021021_45,Naive,FALSE
Pf,Pf_Sm,Exp14-p8E9,8_21,021021_47,Naive,FALSE
Pf,Pf,Exp14-p1A5,12_21,121121_215,Naive,FALSE
Pf,Pf,Exp14-p1C5,12_21,121121_216,Naive,FALSE
Pf,Pf,Exp14-p2E5,12_21,121121_253,Naive,FALSE
Pf,Pf,Exp14-p2C5,12_21,121121_217,Naive,FALSE
Pf,,,,,Naive,FALSE
Pf,,,,,Naive,FALSE
Pf,anc,anc,8_21,021021_54,Naive,FALSE
Pa,Pa_Pv,Exp14-p6C5,,,Naive,FALSE
Pa,Pa_Pv,Exp14-p7C5,6_22,33,Naive,FALSE
Pa,Pa_Pv,Exp14-p7A5,6_22,48,Naive,FALSE
Pa,Pa_Pv,Exp14-p6E5,6_22,51,Naive,FALSE
Pa,Pa_Pv,Exp14-p7E5,6_22,63,Naive,FALSE
Pa,,,,,Naive,FALSE
Pa,Ea_Pa,Exp14-p6A1,6_22,15,Naive,FALSE
Pa,Ea_Pa,Exp14-p6C1,6_22,17,Naive,FALSE
Pa,Ea_Pa,Exp14-p7A1,6_22,26,Naive,FALSE
Pa,Ea_Pa,Exp14-p6E1,6_22,36,Naive,FALSE
Pa,Ea_Pa,Exp14-p7E1,6_22,69,Naive,FALSE
Pa,Ea_Pa,Exp14-p7C1,6_22,52,Naive,FALSE
Pa,Pa,Exp14-p1F2,6_22,5,Naive,FALSE
Pa,Pa,Exp14-p1D2,12_21,121121_256,Naive,FALSE
Pa,Pa,Exp14-p1B2,6_22,16,Naive,FALSE
Pa,Pa,Exp14-p2D2,6_22,56,Naive,FALSE
Pa,Pa,Exp14-p2F2,6_22,67,Naive,FALSE
Pa,Pa,,,,Naive,FALSE
Pa,anc,,6_22,2,Naive,FALSE
Ea,Ea_Pf,Exp14-p6D4,6_22,30,Naive,FALSE
Ea,Ea_Pf,Exp14-p7B4,6_22,43,Naive,FALSE
